link,titre,adresse,code_postal,prix_vente,f0_,prix_location,rendement_brut
https://www.leboncoin.fr/ad/ventes_immobilieres/2757981884,Appartement 3 pièces 75 m²,Allonzier-la-Caille 74350,74350,312000,75.0,1320.0,0.050769230769230768
https://www.leboncoin.fr/ad/ventes_immobilieres/2779055654,Duplex 2 pièces 43 m²,Allonzier-la-Caille 74350,74350,240000,43.0,866.0,0.0433
https://www.leboncoin.fr/ad/ventes_immobilieres/2717424070,Appartement 4 pièces 90 m²,Allonzier-la-Caille 74350,74350,374000,90.0,1515.0,0.048609625668449195
https://www.leboncoin.fr/ad/ventes_immobilieres/2659075203,Appartement 3 pièces 61 m²,Allonzier-la-Caille 74350,74350,309000,61.0,1125.0,0.043689320388349516
https://www.leboncoin.fr/ad/ventes_immobilieres/2674758925,Duplex 4 pièces 91 m²,Allonzier-la-Caille 74350,74350,440000,91.0,1515.0,0.041318181818181816
https://www.leboncoin.fr/ad/ventes_immobilieres/2675455841,Duplex 2 pièces 63 m²,Allonzier-la-Caille 74350,74350,274000,63.0,1125.0,0.049270072992700732
https://www.leboncoin.fr/ad/ventes_immobilieres/2809613077,Appartement 3 pièces 66 m²,Allonzier-la-Caille 74350,74350,345000,66.0,1190.0,0.041391304347826084
https://www.leboncoin.fr/ad/ventes_immobilieres/2440913621,Appartement 4 pièces 97 m²,Allèves 74540,74540,285000,97.0,1278.0,0.053810526315789475
https://www.leboncoin.fr/ad/ventes_immobilieres/2441615593,Appartement 3 pièces 65 m²,Allèves 74540,74540,245000,65.0,889.0,0.04354285714285714
https://www.leboncoin.fr/ad/ventes_immobilieres/2441615591,Appartement 4 pièces 75 m²,Allèves 74540,74540,275000,75.0,1018.0,0.04442181818181818
https://www.leboncoin.fr/ad/ventes_immobilieres/2441615589,Appartement 2 pièces 42 m²,Allèves 74540,74540,175000,42.0,564.0,0.038674285714285717
https://www.leboncoin.fr/ad/ventes_immobilieres/2441615586,Appartement 4 pièces 72 m²,Allèves 74540,74540,260000,72.0,954.0,0.044030769230769227
https://www.leboncoin.fr/ad/ventes_immobilieres/2441615584,Appartement 3 pièces 60 m²,Allèves 74540,74540,230000,60.0,824.0,0.042991304347826088
https://www.leboncoin.fr/ad/ventes_immobilieres/2760848394,Appartement 5 pièces 130 m²,Amancy 74800,74800,456000,130.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2591928011,Appartement 2 pièces 47 m²,Amancy 74800,74800,159000,47.0,846.0,0.063849056603773588
https://www.leboncoin.fr/ad/ventes_immobilieres/2809682054,Magnifique T3,Amancy 74800,74800,335000,65.0,1106.0,0.039617910447761195
https://www.leboncoin.fr/ad/ventes_immobilieres/2759177306,Appartement 6 pièces 144 m²,Amancy 74800,74800,485000,144.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2441580207,Appartement 2 pièces 61 m²,Ambilly 74100,74100,320000,61.0,1112.0,0.0417
https://www.leboncoin.fr/ad/ventes_immobilieres/2657662279,Appartement 4 pièces 89 m²,Ambilly 74100,74100,298000,89.0,1437.0,0.057865771812080538
https://www.leboncoin.fr/ad/ventes_immobilieres/2362334841,Appartement 4 pièces 105 m²,Ambilly 74100,74100,447000,105.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2732332027,Appartement 2 pièces 40 m²,Ambilly 74100,74100,196500,40.0,853.0,0.052091603053435118
https://www.leboncoin.fr/ad/ventes_immobilieres/2654443306,Appartement 2 pièces 63 m²,Ambilly 74100,74100,275000,63.0,1112.0,0.048523636363636366
https://www.leboncoin.fr/ad/ventes_immobilieres/2695745080,Appartement 4 pièces 89 m²,Ambilly 74100,74100,298000,89.0,1437.0,0.057865771812080538
https://www.leboncoin.fr/ad/ventes_immobilieres/2636404860,Appartement 1 pièce 28 m²,Ambilly 74100,74100,150000,28.0,658.0,0.05264
https://www.leboncoin.fr/ad/ventes_immobilieres/2607046925,Appartement - 4 pièces - Résidence proche Dou...,Ambilly 74100,74100,447000,0.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2255703435,Appartement 2 pièces 58 m²,Ambilly 74100,74100,218000,58.0,1048.0,0.057688073394495415
https://www.leboncoin.fr/ad/ventes_immobilieres/2478786648,Appartement 4 pièces 87 m²,Ambilly 74100,74100,399000,87.0,1437.0,0.043218045112781954
https://www.leboncoin.fr/ad/ventes_immobilieres/2316377264,Superbe Appartement en Triplex à Proximité Immédiate de la Frontière Suisse,Ambilly 74100,74100,370000,152.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2798871907,Duplex 3 pièces 75 m²,Ambilly 74100,74100,355000,75.0,1307.0,0.044180281690140842
https://www.leboncoin.fr/ad/ventes_immobilieres/2778240028,Appartement 4 pièces 83 m²,Ambilly 74100,74100,330000,83.0,1372.0,0.04989090909090909
https://www.leboncoin.fr/ad/ventes_immobilieres/2773722409,Appartement 3 pièces 86 m²,Ambilly 74100,74100,445000,86.0,1437.0,0.038750561797752811
https://www.leboncoin.fr/ad/ventes_immobilieres/2458660538,Appartement 3 pièces 66 m²,Ambilly 74100,74100,357200,66.0,1177.0,0.039540873460246359
https://www.leboncoin.fr/ad/ventes_immobilieres/2794372306,Appartement 2 pièces 47 m²,Ambilly 74100,74100,156000,47.0,918.0,0.070615384615384622
https://www.leboncoin.fr/ad/ventes_immobilieres/2758071297,Appartement 1 pièce 36 m²,Ambilly 74100,74100,158000,36.0,788.0,0.059848101265822788
https://www.leboncoin.fr/ad/ventes_immobilieres/2784944663,Studio 1 pièce 29 m²,Ambilly 74100,74100,120000,29.0,658.0,0.0658
https://www.leboncoin.fr/ad/ventes_immobilieres/2633019873,Appartement 3 pièces 70 m²,Ambilly 74100,74100,350000,70.0,1242.0,0.042582857142857145
https://www.leboncoin.fr/ad/ventes_immobilieres/2757239364,Appartement T2 Bis 63 m2 - Terrasse - parking - résidence sécurisée - Ambilly,Ambilly 74100,74100,275000,63.0,1112.0,0.048523636363636366
https://www.leboncoin.fr/ad/ventes_immobilieres/2667395592,Appartement 3 pièces 57 m²,Ambilly 74100,74100,262880,57.0,1048.0,0.047839318320146075
https://www.leboncoin.fr/ad/ventes_immobilieres/2686140878,Loft 2 pièces 85 m²,Ambilly 74100,74100,320000,85.0,1437.0,0.0538875
https://www.leboncoin.fr/ad/ventes_immobilieres/2410036606,Appartement 3 pièces 69 m²,Ambilly 74100,74100,365000,69.0,1177.0,0.0386958904109589
https://www.leboncoin.fr/ad/ventes_immobilieres/2773722410,Appartement 2 pièces 67 m²,Ambilly 74100,74100,295000,67.0,1177.0,0.047877966101694917
https://www.leboncoin.fr/ad/ventes_immobilieres/2721758314,Appartement 2 pièces 49 m²,Ambilly 74100,74100,249000,49.0,918.0,0.044240963855421686
https://www.leboncoin.fr/ad/ventes_immobilieres/2751033760,Appartement - 3 pièces - DiverCity,Ambilly 74100,74100,389900,0.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2776393514,Appartement 3 pièces 64 m²,Ambilly 74100,74100,315000,64.0,1112.0,0.04236190476190476
https://www.leboncoin.fr/ad/ventes_immobilieres/2585492497,Appartement 1 pièce 27 m²,Ambilly 74100,74100,99900,27.0,658.0,0.079039039039039041
https://www.leboncoin.fr/ad/ventes_immobilieres/2459715910,Appartement 3 pièces 107 m²,Ambilly 74100,74100,410000,107.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2751229716,Appartement 6 pièces 130 m²,Ambilly 74100,74100,490000,130.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2499990758,Appartement 3 pièces 64 m²,Ambilly 74100,74100,325000,64.0,1112.0,0.041058461538461537
https://www.leboncoin.fr/ad/ventes_immobilieres/2776191083,Appartement - 2 pièces - Constellation,Ambilly 74100,74100,294000,0.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2584099090,Duplex 5 pièces 99 m²,Ambilly 74100,74100,439000,99.0,1567.0,0.042833712984054667
https://www.leboncoin.fr/ad/ventes_immobilieres/2657627534,Appartement 3 pièces 69 m²,Ambilly 74100,74100,246500,69.0,1177.0,0.057298174442190666
https://www.leboncoin.fr/ad/ventes_immobilieres/2484165631,Appartement 2 pièces 53 m²,Annecy 74000,74000,355000,53.0,989.0,0.033430985915492956
https://www.leboncoin.fr/ad/ventes_immobilieres/2695370571,Appartement 4 pièces 81 m²,Annecy 74000,74000,339000,81.0,1379.0,0.0488141592920354
https://www.leboncoin.fr/ad/ventes_immobilieres/2612994329,Appartement 3 pièces 65 m²,Annecy 74000,74000,399000,65.0,1184.0,0.035609022556390979
https://www.leboncoin.fr/ad/ventes_immobilieres/2436890017,Appartement 3 pièces 49 m²,Annecy 74000,74000,229000,49.0,924.0,0.048419213973799127
https://www.leboncoin.fr/ad/ventes_immobilieres/2500398937,Appartement 2 pièces 43 m²,Annecy 74000,74000,285000,43.0,860.0,0.036210526315789471
https://www.leboncoin.fr/ad/ventes_immobilieres/2802212946,Appartement 3 pièces 67 m²,Annecy 74000,74000,480000,67.0,1184.0,0.0296
https://www.leboncoin.fr/ad/ventes_immobilieres/2809613080,Appartement 3 pièces 63 m²,Annecy 74000,74000,357000,63.0,1119.0,0.037613445378151263
https://www.leboncoin.fr/ad/ventes_immobilieres/2769316446,Appartement 3 pièces 58 m²,Annecy 74000,74000,310000,58.0,1054.0,0.0408
https://www.leboncoin.fr/ad/ventes_immobilieres/2740779845,Appartement 2 pièces 70 m²,Annecy 74000,74000,299000,70.0,1249.0,0.050127090301003346
https://www.leboncoin.fr/ad/ventes_immobilieres/2623734028,Appartement - 4 pièces - LE PRE GEORGES - CHAP...,Annecy 74000,74000,472000,0.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2776353224,Appartement 3 pièces 64 m²,Annecy 74000,74000,330000,64.0,1119.0,0.04069090909090909
